Mount Name,Component,Displacement,Mount Stiffness
P16,X, 6.6980288830E-004 ,298595.30840127013
P16,Y, 6.1345222639E-004 ,326023.75767212675
P16,Z, 2.5785961151E+000 ,77.56158431668305
P15,X, 6.6500302637E-004 ,300750.51100402407
P15,Y, 6.2093249289E-004 ,322096.2057713262
P15,Z, 2.5998339653E+000 ,76.92798950602278
P14,X, 3.7965885713E-004 ,526788.7110862725
P14,Y, 3.1878150185E-004 ,627388.9759579223
P14,Z, 9.3745535612E-001 ,213.34349278004316
P13,X, 2.9913330218E-004 ,668598.2421296989
P13,Y, 2.9770925175E-004 ,671796.3880005621
P13,Z, 5.0191140175E-001 ,398.4767018694251
P9,X, 3.3069087658E-004 ,604794.4293728238
P9,Y, 3.4679300734E-004 ,576712.8972237828
P9,Z, 7.9605346918E-001 ,251.23940506912973
P10,X, 3.7101726048E-004 ,539058.4786843931
P10,Y, 3.8836520980E-004 ,514979.1869951375
P10,Z, 1.7209566832E+000 ,116.21443000419616
P11,X, 2.8141893563E-004 ,710684.2315079792
P11,Y, 3.6078231642E-004 ,554350.8949789342
P11,Z, 1.2984911203E+000 ,154.02492698894432
P12,X, 2.1417520475E-004 ,933814.9121111089
P12,Y, 3.1626189593E-004 ,632387.2795737211
P12,Z, 4.2418748140E-001 ,471.4896331686039
P8,X, 2.7852915809E-004 ,718057.6761567448
P8,Y, 3.4233703627E-004 ,584219.581320032
P8,Z, 6.2306761742E-001 ,320.9924483447888
P7,X, 3.2788290991E-004 ,609973.8472337507
P7,Y, 3.8323152694E-004 ,521877.73171206936
P7,Z, 1.5116255283E+000 ,132.3079005055726
P6,X, 2.9893289320E-004 ,669046.4801616552
P6,Y, 3.3908092882E-004 ,589829.6925633625
P6,Z, 1.3475290537E+000 ,148.41980545862572
P5,X, 2.3768276151E-004 ,841457.7427887442
P5,Y, 2.9468230787E-004 ,678697.0057538392
P5,Z, 5.0417238474E-001 ,396.68971576683896
P1,X, 3.3515910036E-004 ,596731.5217912229
P1,Y, 3.2253589598E-004 ,620086.0198593267
P1,Z, 5.7893121243E-001 ,345.4641859099668
P2,X, 4.0011852980E-004 ,499851.8816410986
P2,Y, 3.4637557110E-004 ,577407.925636474
P2,Z, 1.1009896994E+000 ,181.6547421914963
P3,X, 5.1045697182E-004 ,391805.7956715009
P3,Y, 4.6968890820E-004 ,425813.7599341333
P3,Z, 1.8983589411E+000 ,105.35415387993508
P4,X, 4.8716046149E-004 ,410542.34858939884
P4,Y, 4.5834065531E-004 ,436356.6654691136
P4,Z, 1.4474309683E+000 ,138.17584698695438
